YEAR,ECONOMIC_SECTOR,RISK_COUNTRY,MEAN_WEIGHTED_INTENSITY,MED_WEIGHTED_INTENSITY,TOTAL_HOLDINGS,TOTAL_HOLDINGS(USD),SECTOR_CSPP_HOLDINGS,SECTOR_ELIGIBLE_CSPP_UNIVERSE,COUNTRY_CSPP_HOLDINGS,COUNTRY_ELIGIBLE_CSPP_UNIVERSE,WEIGHTS,SUM_WEIGHTS,MEAN_WACI,MEDIAN_WACI
2018,Construction & Materials,Germany,86.6271775586314,86.6271775586314,160838.5,168880,0.06,0.05,0.25,0.25,0.015,0.6909,1.8807463647119278,1.8807463647119278
2018,Construction & Materials,Italy,17.85284299239315,17.85284299239315,160838.5,168880,0.06,0.05,0.12,0.115,0.0072,0.6909,0.1860478644452608,0.1860478644452608
2018,Construction & Materials,Other (euro area),53.27,53.27,160838.5,168880,0.06,0.05,0.06,0.065,0.0036,0.6909,0.2775683890577508,0.2775683890577508
2018,Energy and basic resources,Belgium,82.93947983842392,82.93947983842392,160838.5,168880,0.06,0.07,0.05,0.05,0.003,0.6909,0.36013669057066405,0.36013669057066405
2018,Energy and basic resources,France,445.40088159652817,445.40088159652817,160838.5,168880,0.06,0.07,0.3,0.31,0.018,0.6909,11.604017757616887,11.604017757616887
2018,Energy and basic resources,Germany,375.12050947300463,316.8833481848309,160838.5,168880,0.06,0.07,0.25,0.25,0.015,0.6909,8.14417085264882,6.879794793417952
2018,Energy and basic resources,Italy,533.5005628275999,533.5005628275999,160838.5,168880,0.06,0.07,0.12,0.115,0.0072,0.6909,5.559710598290229,5.559710598290229
2018,Energy and basic resources,Netherlands,149.46233773276765,71.99045678418202,160838.5,168880,0.06,0.07,0.06,0.055,0.0036,0.6909,0.7787876911824627,0.3751131052584386
2018,Energy and basic resources,Other (euro area),466.3308180510525,494.768105748698,160838.5,168880,0.06,0.07,0.06,0.065,0.0036,0.6909,2.429860971173526,2.5780361567452785
2018,Energy and basic resources,Spain,689.6800000000001,689.6800000000001,160838.5,168880,0.06,0.07,0.1,0.09,0.006,0.6909,5.989405123751629,5.989405123751629
2018,Food,France,47.84905973405727,52.35046751807881,160838.5,168880,0.04,0.03,0.3,0.31,0.012,0.6909,0.831073551611937,0.9092569260630277
2018,Food,Germany,18.277666287473632,17.23711674333077,160838.5,168880,0.04,0.03,0.25,0.25,0.01,0.6909,0.264548650853577,0.2494878671780398
2018,Food,Netherlands,99.3181742938764,30.79973409710193,160838.5,168880,0.04,0.03,0.06,0.055,0.0024,0.6909,0.34500451339601007,0.10698995778411438
2018,Infrastructure and transportation,France,2642.021886678204,356.39,160838.5,168880,0.11,0.13,0.3,0.31,0.033,0.6909,126.19296896856382,17.022535822839775
2018,Infrastructure and transportation,Germany,176.0567921127283,94.70502594757193,160838.5,168880,0.11,0.13,0.25,0.25,0.0275,0.6909,7.007615838905816,3.7695588559244873
2018,Infrastructure and transportation,Italy,154.49018756246562,31.91694500878069,160838.5,168880,0.11,0.13,0.12,0.115,0.0132,0.6909,2.9516145257266553,0.6097896571369302
2018,Infrastructure and transportation,Netherlands,202.73547625836093,356.39,160838.5,168880,0.11,0.13,0.06,0.055,0.0066,0.6909,1.9366827953469132,3.4045071645679545
2018,Infrastructure and transportation,Other (euro area),356.39000000000004,356.39000000000004,160838.5,168880,0.11,0.13,0.06,0.065,0.0066,0.6909,3.4045071645679554,3.4045071645679554
2018,Infrastructure and transportation,Spain,84.12497809553851,84.1249780955385,160838.5,168880,0.11,0.13,0.1,0.09,0.011000000000000001,0.6909,1.339375827255643,1.3393758272556429
2018,Insurance,France,0.9714609855907835,0.9714609855907835,160838.5,168880,0.03,0.03,0.3,0.31,0.009,0.6909,0.012654724084986323,0.012654724084986323
2018,Insurance,Germany,111.26128774658424,150.84,160838.5,168880,0.03,0.03,0.25,0.25,0.0075,0.6909,1.207786449702391,1.637429439861051
2018,Insurance,Italy,28.98033647644401,0.8588756633157039,160838.5,168880,0.03,0.03,0.12,0.115,0.0036,0.6909,0.15100479275611295,0.004475253130607228
2018,Insurance,Netherlands,6475.429247116223,10696.432052578431,160838.5,168880,0.03,0.03,0.06,0.055,0.0018,0.6909,16.870419228266325,27.867387023652014
2018,Insurance,Other (euro area),150.83999999999997,150.83999999999997,160838.5,168880,0.03,0.03,0.06,0.065,0.0018,0.6909,0.3929830655666521,0.3929830655666521
2018,Insurance,Spain,2.10892137439707,2.10892137439707,160838.5,168880,0.03,0.03,0.1,0.09,0.003,0.6909,0.00915727908987004,0.00915727908987004
2018,Other sectors,Belgium,30.932733843180102,42.7,160838.5,168880,0.09,0.08499999999999999,0.05,0.05,0.0045,0.6909,0.20147243058953607,0.27811550151975684
